#At time x process y state arr w total z remain y wait k
At time 1 process 1 started arr 1 total 8 remain 8 wait 0 
At time 3 process 1 stoped arr 1 total 8 remain 6 wait 0 
At time 3 process 2 started arr 1 total 8 remain 8 wait 2 
At time 5 process 2 stoped arr 1 total 8 remain 6 wait 2 
At time 5 process 3 started arr 1 total 8 remain 8 wait 4 
At time 7 process 3 stoped arr 1 total 8 remain 6 wait 4 
At time 7 process 4 started arr 1 total 10 remain 10 wait 6 
At time 9 process 4 stoped arr 1 total 10 remain 8 wait 6 
At time 9 process 5 started arr 1 total 16 remain 16 wait 8 
At time 11 process 5 stoped arr 1 total 16 remain 14 wait 8 
At time 11 process 6 started arr 1 total 16 remain 16 wait 10 
At time 13 process 6 stoped arr 1 total 16 remain 14 wait 10 
At time 13 process 1 resumed arr 1 total 8 remain 6 wait 0 
At time 15 process 1 stoped arr 1 total 8 remain 4 wait 0 
At time 15 process 2 resumed arr 1 total 8 remain 6 wait 2 
At time 17 process 2 stoped arr 1 total 8 remain 4 wait 2 
At time 17 process 3 resumed arr 1 total 8 remain 6 wait 4 
At time 19 process 3 stoped arr 1 total 8 remain 4 wait 4 
At time 19 process 4 resumed arr 1 total 10 remain 8 wait 6 
At time 21 process 4 stoped arr 1 total 10 remain 6 wait 6 
At time 21 process 5 resumed arr 1 total 16 remain 14 wait 8 
At time 23 process 5 stoped arr 1 total 16 remain 12 wait 8 
At time 23 process 6 resumed arr 1 total 16 remain 14 wait 10 
At time 25 process 6 stoped arr 1 total 16 remain 12 wait 10 
At time 25 process 1 resumed arr 1 total 8 remain 4 wait 0 
At time 27 process 1 stoped arr 1 total 8 remain 2 wait 0 
At time 27 process 2 resumed arr 1 total 8 remain 4 wait 2 
At time 29 process 2 stoped arr 1 total 8 remain 2 wait 2 
At time 29 process 3 resumed arr 1 total 8 remain 4 wait 4 
At time 31 process 3 stoped arr 1 total 8 remain 2 wait 4 
At time 31 process 4 resumed arr 1 total 10 remain 6 wait 6 
At time 33 process 4 stoped arr 1 total 10 remain 4 wait 6 
At time 33 process 5 resumed arr 1 total 16 remain 12 wait 8 
At time 35 process 5 stoped arr 1 total 16 remain 10 wait 8 
At time 35 process 6 resumed arr 1 total 16 remain 12 wait 10 
At time 37 process 6 stoped arr 1 total 16 remain 10 wait 10 
At time 37 process 1 resumed arr 1 total 8 remain 2 wait 0 
At time 39 process 1 finished arr 1 total 8 remain 0 wait 0 TA 38 WTA 4.75
At time 39 process 2 resumed arr 1 total 8 remain 2 wait 2 
At time 41 process 2 finished arr 1 total 8 remain 0 wait 2 TA 40 WTA 5.00
At time 41 process 3 resumed arr 1 total 8 remain 2 wait 4 
At time 43 process 3 finished arr 1 total 8 remain 0 wait 4 TA 42 WTA 5.25
At time 43 process 4 resumed arr 1 total 10 remain 4 wait 6 
At time 45 process 4 stoped arr 1 total 10 remain 2 wait 6 
At time 45 process 5 resumed arr 1 total 16 remain 10 wait 8 
At time 47 process 5 stoped arr 1 total 16 remain 8 wait 8 
At time 47 process 6 resumed arr 1 total 16 remain 10 wait 10 
At time 49 process 6 stoped arr 1 total 16 remain 8 wait 10 
At time 49 process 7 started arr 1 total 8 remain 8 wait 48 
At time 51 process 7 stoped arr 1 total 8 remain 6 wait 48 
At time 51 process 4 resumed arr 1 total 10 remain 2 wait 6 
At time 53 process 4 finished arr 1 total 10 remain 0 wait 6 TA 52 WTA 5.20
At time 53 process 5 resumed arr 1 total 16 remain 8 wait 8 
At time 55 process 5 stoped arr 1 total 16 remain 6 wait 8 
At time 55 process 6 resumed arr 1 total 16 remain 8 wait 10 
At time 57 process 6 stoped arr 1 total 16 remain 6 wait 10 
At time 57 process 7 resumed arr 1 total 8 remain 6 wait 48 
At time 59 process 7 stoped arr 1 total 8 remain 4 wait 48 
At time 59 process 8 started arr 1 total 9 remain 9 wait 58 
At time 61 process 8 stoped arr 1 total 9 remain 7 wait 58 
At time 61 process 5 resumed arr 1 total 16 remain 6 wait 8 
At time 63 process 5 stoped arr 1 total 16 remain 4 wait 8 
At time 63 process 6 resumed arr 1 total 16 remain 6 wait 10 
At time 65 process 6 stoped arr 1 total 16 remain 4 wait 10 
At time 65 process 7 resumed arr 1 total 8 remain 4 wait 48 
At time 67 process 7 stoped arr 1 total 8 remain 2 wait 48 
At time 67 process 8 resumed arr 1 total 9 remain 7 wait 58 
At time 69 process 8 stoped arr 1 total 9 remain 5 wait 58 
At time 69 process 5 resumed arr 1 total 16 remain 4 wait 8 
At time 71 process 5 stoped arr 1 total 16 remain 2 wait 8 
At time 71 process 6 resumed arr 1 total 16 remain 4 wait 10 
At time 73 process 6 stoped arr 1 total 16 remain 2 wait 10 
At time 73 process 7 resumed arr 1 total 8 remain 2 wait 48 
At time 75 process 7 finished arr 1 total 8 remain 0 wait 48 TA 74 WTA 9.25
At time 75 process 8 resumed arr 1 total 9 remain 5 wait 58 
At time 77 process 8 stoped arr 1 total 9 remain 3 wait 58 
At time 77 process 5 resumed arr 1 total 16 remain 2 wait 8 
At time 79 process 5 finished arr 1 total 16 remain 0 wait 8 TA 78 WTA 4.88
At time 79 process 6 resumed arr 1 total 16 remain 2 wait 10 
At time 81 process 6 finished arr 1 total 16 remain 0 wait 10 TA 80 WTA 5.00
At time 81 process 8 resumed arr 1 total 9 remain 3 wait 58 
At time 83 process 8 stoped arr 1 total 9 remain 1 wait 58 
At time 83 process 8 resumed arr 1 total 9 remain 1 wait 58 
At time 84 process 8 finished arr 1 total 9 remain 0 wait 58 TA 83 WTA 9.22
